ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
340,766,604400,6212,604400
340,766,605400,6212,605400
341,768,606210,6212,606210
341,768,607210,6212,607210
342,770,608210,6212,608210
342,770,608680,6212,608680
343,772,609680,6212,609680
344,776,613680,6212,613680
344,776,614680,6212,614680
344,776,615680,6212,615680
344,776,615680,6212,615680
345,778,616680,6212,616680
345,778,617680,6212,617680
346,780,618680,6212,618680
346,780,618680,6212,618680
346,780,619490,6212,619490
347,782,620490,6212,620490
347,782,621490,6212,621490
347,782,621720,6212,621720
348,784,622720,6212,622720
348,784,623530,6212,623530
349,786,624530,6212,624530
349,786,625180,6212,625180
350,788,626180,6212,626180
350,788,626550,6212,626550
350,788,627360,6212,627360
351,790,628360,6212,628360
351,790,629360,6212,629360
352,792,630170,6212,630170
352,792,630980,6212,630980
353,794,631980,6212,631980
353,794,632980,6212,632980
353,794,633210,6212,633210
354,796,634210,6212,634210
354,796,635210,6212,635210
354,796,635680,6212,635680
355,798,636150,6212,636150
355,798,637150,6212,637150
356,800,638150,6212,638150
356,800,638470,6212,638470
356,800,639280,6212,639280
357,802,640280,6212,640280
357,802,641280,6212,641280
358,804,642280,6212,642280
358,804,642750,6212,642750
358,804,643750,6212,643750
359,806,644220,6212,644220
359,806,645220,6212,645220
360,808,646030,6212,646030
360,808,647030,6212,647030
361,810,648030,6212,648030
361,810,649030,6212,649030
361,810,649030,6212,649030
362,812,650030,6212,650030
362,812,651030,6212,651030
362,812,651350,6212,651350
363,814,652350,6212,652350
363,814,653350,6212,653350
364,816,654350,6212,654350
364,816,655160,6212,655160
364,816,655530,6212,655530
365,818,656340,6212,656340
365,818,657340,6212,657340
366,820,657800,6212,657800
366,820,658120,6212,658120
366,820,659120,6212,659120
367,822,660120,6212,660120
367,822,660930,6212,660930
368,824,661930,6212,661930
368,824,662400,6212,662400
368,824,663210,6212,663210
369,826,664210,6212,664210
369,826,664580,6212,664580
369,826,664900,6212,664900
370,828,665900,6212,665900
370,828,666900,6212,666900
371,830,667710,6212,667710
371,830,668710,6212,668710
372,832,669710,6212,669710
