ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
108,485,397270,6212,397270
108,485,398080,6212,398080
108,485,398240,6212,398240
108,485,399050,6212,399050
108,485,399370,6212,399370
108,485,400180,6212,400180
108,485,400730,6212,400730
108,485,401380,6212,401380
108,485,401380,6212,401380
108,485,401970,6212,401970
108,485,401970,6212,401970
108,485,402290,6212,402290
108,485,402450,6212,402450
108,485,402680,6212,402680
108,485,403330,6212,403330
108,485,404140,6212,404140
108,485,404950,6212,404950
108,485,405270,6212,405270
109,487,405920,6212,405920
109,487,406240,6212,406240
109,487,406560,6212,406560
109,487,406560,6212,406560
109,487,406560,6212,406560
109,487,407030,6212,407030
109,487,407350,6212,407350
109,487,407820,6212,407820
109,487,408290,6212,408290
110,491,409100,6212,409100
110,491,409570,6212,409570
110,491,410380,6212,410380
110,491,410850,6212,410850
111,499,411320,6212,411320
111,499,412130,6212,412130
111,499,412780,6212,412780
111,499,413590,6212,413590
111,499,414240,6212,414240
111,499,414710,6212,414710
111,499,414930,6212,414930
111,499,415580,6212,415580
111,499,415580,6212,415580
