ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
285,684,489820,6212,491100
285,684,489820,6212,491910
285,684,489820,6212,491910
285,684,490820,6212,492910
286,686,491820,6212,493910
286,686,492470,6212,494560
286,686,492840,6212,494930
287,688,493650,6212,495740
287,688,494650,6212,496740
288,690,495020,6212,497110
288,690,495340,6212,497430
288,690,495500,6212,497590
288,690,495730,6212,497820
288,690,496730,6212,498820
289,692,497540,6212,499630
289,692,497540,6212,499630
289,692,497770,6212,499860
289,692,498770,6212,500860
290,694,499770,6212,501860
290,694,500770,6212,502860
291,696,501770,6212,503860
291,696,502770,6212,504860
291,696,502770,6212,504860
291,696,502770,6212,504860
292,698,503770,6212,505860
292,698,504420,6212,506510
292,698,504890,6212,506980
293,700,505700,6212,507790
293,700,506700,6212,508790
294,702,507700,6212,509790
294,702,508510,6212,510600
295,704,509320,6212,511410
295,704,510320,6212,512410
295,704,510320,6212,512410
296,706,511130,6212,513220
296,706,512130,6212,514220
296,706,512600,6212,514690
296,706,513600,6212,515690
296,706,513830,6212,515920
297,710,514300,6212,516390
298,712,515300,6212,517390
298,712,516300,6212,518390
298,712,516300,6212,518710
298,712,517300,6212,519710
298,712,518300,6212,520710
298,712,518300,6212,521520
298,712,518770,6212,521990
298,712,519770,6212,522990
299,714,520580,6212,523800
299,714,521580,6212,524800
300,716,522580,6212,525800
300,716,523580,6212,526800
300,716,523580,6212,526800
301,718,524390,6212,527610
301,718,524860,6212,528080
301,718,525330,6212,528550
302,720,526330,6212,529550
302,720,527140,6212,530360
303,722,527950,6212,531170
303,722,528950,6212,532170
304,724,529950,6212,533170
304,724,530760,6212,533980
304,724,531080,6212,534300
304,724,531080,6212,534300
305,726,531890,6212,535110
305,726,532890,6212,536110
306,728,533540,6212,536760
306,728,534540,6212,537760
306,728,534540,6212,537760
306,728,534540,6212,537760
307,730,535540,6212,538760
307,730,536350,6212,539570
308,732,537350,6212,540570
308,732,537820,6212,541040
308,732,538820,6212,542040
309,734,539820,6212,543040
309,734,540410,6212,543630
310,736,541410,6212,544630
311,740,541880,6212,545100
311,740,542880,6212,546100
311,740,543880,6212,547100
311,740,544530,6212,547750
311,740,545530,6212,548750
312,742,546340,6212,549560
312,742,547150,6212,550370
313,744,548150,6212,551370
313,744,549150,6212,552370
314,746,550150,6212,553370
314,746,551150,6212,554370
314,746,551150,6212,554370
315,748,552150,6212,555370
315,748,553150,6212,556370
316,750,553960,6212,557180
316,750,554610,6212,557830
317,752,555420,6212,558640
317,752,556230,6212,559450
318,754,557230,6212,560450
318,754,558230,6212,561450
318,754,559230,6212,562450
319,756,560040,6212,563260
319,756,560040,6212,563260
319,756,561040,6212,564260
320,758,562040,6212,565260
320,758,562040,6212,565260
320,758,563040,6212,566260
320,758,563040,6212,566260
320,758,563510,6212,566730
321,766,564510,6212,567730
321,766,564510,6212,567730
321,766,564510,6212,567730
321,766,564510,6212,567730
322,768,565510,6212,568730
322,768,566510,6212,569730
323,770,567160,6212,570380
323,770,567160,6212,570380
323,770,567970,6212,571190
324,772,568780,6212,572000
324,772,569780,6212,573000
325,774,570780,6212,574000
325,774,571100,6212,574320
325,774,572100,6212,575320
325,774,572100,6212,575320
325,774,572330,6212,575550
326,776,573330,6212,576550
326,776,574330,6212,577550
327,778,575330,6212,578550
327,778,575800,6212,579020
328,780,576800,6212,580020
328,780,577800,6212,581020
328,780,578030,6212,581250
329,782,579030,6212,582250
329,782,579680,6212,582900
330,784,580680,6212,583900
330,784,580680,6212,583900
330,784,581490,6212,584710
331,786,582490,6212,585710
331,786,583490,6212,586710
332,788,584490,6212,587710
332,788,585490,6212,588710
333,790,586300,6212,589520
333,790,587300,6212,590520
334,798,595300,6212,598520
335,800,596300,6212,599520
335,800,597300,6212,600520
336,802,598300,6212,601520
336,802,598300,6212,601520
336,802,599300,6212,602520
336,802,600300,6212,603520
337,804,601300,6212,604520
337,804,602300,6212,605520
337,804,603110,6212,606330
337,804,604110,6212,607330
337,804,605110,6212,608330
337,804,605110,6212,608330
337,804,606110,6212,609330
337,804,607110,6212,610330
338,806,607920,6212,611140
338,806,608380,6212,611600
338,806,609380,6212,612600
339,808,610380,6212,613600
339,808,610380,6212,613600
339,808,610850,6212,614070
340,810,611660,6212,614880
340,810,612470,6212,615690
340,810,612470,6212,615690
340,810,612940,6212,616160
341,812,613750,6212,616970
341,812,613750,6212,616970
341,812,614400,6212,617620
342,814,615210,6212,618430
342,814,615440,6212,618660
342,814,615440,6212,618660
342,814,615670,6212,618890
342,814,616670,6212,619890
342,814,616670,6212,619890
343,816,617670,6212,620890
343,816,617670,6212,620890
343,816,618140,6212,621360
343,816,619140,6212,622360
344,818,620140,6212,623360
344,818,620600,6212,623820
344,818,621600,6212,624820
345,820,622600,6212,625820
345,820,623410,6212,626630
346,822,624410,6212,627630
346,822,624410,6212,627630
346,822,624410,6212,627630
346,822,625060,6212,628280
347,824,626060,6212,629280
347,824,626280,6212,629500
347,824,627090,6212,630310
347,824,627090,6212,630310
347,824,628090,6212,631310
348,826,629090,6212,632310
348,826,629250,6212,632470
348,826,629250,6212,632470
348,826,629250,6212,632470
349,834,630250,6212,633470
349,834,630720,6212,633940
349,834,631720,6212,634940
350,836,632720,6212,635940
350,836,633720,6212,636940
351,840,634190,6212,637410
351,840,635190,6212,638410
