ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
890574.05,14.91,1.34,269879.95,4.52
890625.58,14.91,1.34,269998.43,4.52
890677.11,14.91,1.35,270057.47,4.52
890728.64,14.91,1.35,270175.95,4.52
890468.71,14.91,1.34,270014.15,4.52
890622.98,14.91,1.35,270097.21,4.52
890674.51,14.92,1.35,270215.68,4.53
890674.51,14.92,1.35,270738.34,4.53
890414.58,14.91,1.35,270587.31,4.53
890466.11,14.92,1.35,270646.35,4.53
890230.13,14.91,1.35,270570.16,4.53
890943.04,14.93,1.36,270868.94,4.54
890678.8,14.93,1.36,270358.41,4.53
890730.33,14.93,1.36,270476.89,4.53
890376.99,14.92,1.36,270157.28,4.53
890537.31,14.93,1.36,270185.0,4.53
890588.84,14.93,1.36,270303.48,4.53
890328.91,14.93,1.36,270141.68,4.53
890380.44,14.93,1.36,270200.72,4.53
890431.97,14.93,1.37,270028.2,4.53
890483.5,14.94,1.37,270397.59,4.54
890247.52,14.93,1.37,270321.4,4.53
890299.05,14.94,1.37,269975.1,4.53
890599.54,14.94,1.38,269979.26,4.53
890759.85,14.95,1.38,269950.5,4.53
890811.38,14.95,1.38,270125.46,4.53
890862.91,14.95,1.38,270243.93,4.54
890862.91,14.95,1.38,269721.27,4.53
890914.44,14.95,1.39,269780.32,4.53
