ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
899929.72,15.12,1.5,188271.58,3.16
899981.65,15.12,1.5,188394.56,3.16
900153.46,15.12,1.5,188394.56,3.17
900017.26,15.12,1.5,188303.42,3.16
899881.05,15.12,1.5,188257.73,3.16
900102.37,15.13,1.51,188578.36,3.17
900154.3,15.13,1.51,188578.48,3.17
900206.24,15.13,1.51,188578.59,3.17
900427.56,15.14,1.52,188610.37,3.17
900658.81,15.14,1.52,189960.01,3.19
900522.6,15.14,1.52,189829.59,3.19
900784.79,15.15,1.53,189829.83,3.19
900648.58,15.15,1.53,189878.65,3.19
900512.38,15.15,1.53,189878.38,3.19
900376.17,15.15,1.53,189878.12,3.2
900239.97,15.15,1.53,189877.86,3.2
900291.9,15.15,1.53,189877.98,3.2
900291.9,15.15,1.53,189747.56,3.19
900463.71,15.16,1.54,189747.56,3.19
900635.52,15.16,1.54,189747.3,3.19
900655.12,15.16,1.54,189541.91,3.19
900875.4,15.17,1.55,189541.65,3.19
901038.12,15.17,1.55,189541.39,3.19
901306.25,15.18,1.56,189541.12,3.19
901170.04,15.18,1.56,189410.71,3.19
901033.84,15.18,1.56,189410.45,3.19
901085.77,15.18,1.56,189410.56,3.19
901623.33,15.19,1.57,189559.79,3.19
901675.26,15.19,1.57,189559.79,3.19
901539.06,15.19,1.57,189559.79,3.19
901590.99,15.2,1.58,189559.9,3.2
901812.31,15.2,1.58,190188.98,3.21
901812.31,15.2,1.58,190188.72,3.21
901864.24,15.2,1.58,190188.84,3.21
901864.24,15.2,1.58,190188.84,3.21
902085.56,15.21,1.59,190188.58,3.21
902272.08,15.21,1.59,190322.93,3.21
902473.94,15.22,1.6,190323.38,3.21
902473.94,15.22,1.6,190323.12,3.21
902695.26,15.22,1.6,190322.86,3.21
902702.92,15.22,1.6,190581.19,3.21
902702.92,15.22,1.6,190447.82,3.21
902566.71,15.22,1.6,190441.01,3.21
902834.84,15.23,1.61,190441.01,3.21
902886.77,15.23,1.61,190441.01,3.21
903114.84,15.24,1.62,190440.75,3.21
903166.77,15.24,1.62,190440.86,3.21
903166.77,15.24,1.62,190445.25,3.21
903488.41,15.25,1.63,190464.71,3.21
903488.41,15.25,1.63,190464.45,3.21
903352.21,15.25,1.63,190464.19,3.21
903573.53,15.25,1.63,190495.96,3.22
903794.85,15.26,1.64,190495.96,3.22
903846.78,15.26,1.64,190496.08,3.22
903857.98,15.26,1.64,190643.92,3.22
904079.3,15.27,1.65,190906.7,3.22
903943.09,15.27,1.65,190906.44,3.22
904264.74,15.27,1.65,191091.45,3.23
904532.86,15.28,1.66,191091.19,3.23
904396.66,15.28,1.66,191090.93,3.23
904260.45,15.28,1.66,191090.67,3.23
904124.25,15.28,1.66,191090.67,3.23
904176.18,15.28,1.66,191090.29,3.23
904176.18,15.28,1.66,191094.68,3.23
904039.98,15.28,1.66,191090.03,3.23
904261.3,15.29,1.67,191089.77,3.23
904529.42,15.29,1.67,191089.51,3.23
904393.22,15.29,1.67,190952.97,3.23
904661.35,15.3,1.68,190942.47,3.23
