ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
891986.42,15.36,2.01,339336.01,5.84
892255.65,15.36,2.02,339229.67,5.84
892661.31,15.37,2.03,339251.9,5.84
892237.43,15.37,2.02,338715.02,5.83
892088.96,15.37,2.02,338672.36,5.83
892382.5,15.37,2.03,338964.23,5.84
892354.32,15.37,2.03,338979.19,5.84
892205.85,15.37,2.03,339088.02,5.84
892057.38,15.37,2.03,338974.91,5.84
891908.91,15.38,2.03,338948.38,5.84
891949.14,15.38,2.03,339010.12,5.84
891949.14,15.38,2.03,338926.39,5.84
891920.96,15.38,2.04,338951.95,5.84
890853.49,15.38,2.04,338744.22,5.85
890825.31,15.39,2.04,338742.93,5.85
890985.84,15.39,2.05,338790.43,5.85
891375.36,15.4,2.05,338772.31,5.85
891781.01,15.41,2.06,338795.65,5.85
891695.22,15.41,2.06,338748.12,5.85
891667.04,15.41,2.07,338763.08,5.85
891518.57,15.41,2.07,338736.54,5.86
891490.39,15.41,2.07,338751.5,5.86
891462.21,15.41,2.07,338766.46,5.86
891747.57,15.42,2.08,338853.74,5.86
891599.1,15.42,2.08,338789.8,5.86
892094.54,15.43,2.09,338896.07,5.86
891946.07,15.43,2.09,338782.96,5.86
891797.6,15.43,2.09,338751.91,5.86
891769.42,15.43,2.09,338777.48,5.86
892068.11,15.44,2.1,338780.81,5.86
892039.94,15.44,2.1,338773.55,5.86
892080.17,15.44,2.1,338853.66,5.87
891931.7,15.44,2.1,338759.19,5.87
892306.85,15.45,2.11,338783.72,5.87
892158.38,15.45,2.11,338663.5,5.87
892158.38,15.45,2.11,338579.77,5.86
892009.9,15.45,2.11,338466.66,5.86
892009.9,15.45,2.11,338369.0,5.86
891861.43,15.45,2.11,338250.04,5.86
891712.96,15.45,2.11,338448.87,5.86
892512.93,15.47,2.12,338583.45,5.87
892553.16,15.47,2.13,338542.69,5.87
892404.69,15.47,2.13,338430.27,5.87
892256.22,15.47,2.13,338318.41,5.87
892376.51,15.47,2.13,338356.74,5.87
892348.33,15.47,2.13,338371.69,5.87
892199.86,15.47,2.13,338329.03,5.87
892240.09,15.48,2.13,338246.33,5.87
